filename,image_path,label,class_idx,md5,title,motif_source,technique,layout_pattern,composition,color_style,weavability_note,cultural_context,prompt
flora/F-001-flora_11.jpg,D:\DISERTASI_S3\WIWIK\DATASET_L2\EndekGAN\EndekGAN_Dataset\flora\F-001-flora_11.jpg,flora,0,d060f68c7ac39889c68a5399e762a9f7,Motif Endek Flora berbasis bunga kamboja sebagai simbol kesucian,bunga kamboja sebagai simbol kesucian,distorsi,pola acak terkontrol,keseimbangan visual; kesatuan ornamen; kesatuan ornamen,"warna coklat, krem, dan emas bernuansa tradisional",mempertahankan karakter tekstur tenun ikat tradisional,menjaga kesakralan dan kepantasan motif,"Motif Endek Flora berbasis bunga kamboja sebagai simbol kesucian. Desain kain Endek Bali bertema flora yang terinspirasi dari bunga kamboja sebagai simbol kesucian. Motif dibuat menggunakan teknik distorsi, yaitu perubahan bentuk dengan penekanan atau pelebaran proporsi untuk menghasilkan karakter visual yang lebih ekspresif. Tata letak menggunakan pola acak terkontrol, dengan keseimbangan visual, kesatuan ornamen, dan kesatuan ornamen. Pewarnaan memakai warna coklat, krem, dan emas bernuansa tradisional. Desain harus mempertahankan karakter tekstur tenun ikat tradisional, tetap mempertahankan tekstur tenun ikat tradisional, dan menjaga kesakralan dan kepantasan motif."
flora/F-002-flora_15.jpg,D:\DISERTASI_S3\WIWIK\DATASET_L2\EndekGAN\EndekGAN_Dataset\flora\F-002-flora_15.jpg,flora,0,43e1370b656f35738ffbe2ebfb856692,Motif Endek Flora berbasis daun dan sulur tanaman tropis Bali,daun dan sulur tanaman tropis Bali,distorsi,pola tunggal,kesatuan ornamen; klimaks visual yang jelas; kesatuan ornamen,warna merah dan emas yang kontras,layak diterapkan pada proses ikat tenun Endek,"mengutamakan nilai estetika, fungsi, dan identitas lokal Endek Bali","Motif Endek Flora berbasis daun dan sulur tanaman tropis Bali. Desain kain Endek Bali bertema flora yang terinspirasi dari daun dan sulur tanaman tropis Bali. Motif dibuat menggunakan teknik distorsi, yaitu perubahan bentuk dengan penekanan atau pelebaran proporsi untuk menghasilkan karakter visual yang lebih ekspresif. Tata letak menggunakan pola tunggal, dengan kesatuan ornamen, klimaks visual yang jelas, dan kesatuan ornamen. Pewarnaan memakai warna merah dan emas yang kontras. Desain harus layak diterapkan pada proses ikat tenun Endek, tetap mempertahankan tekstur tenun ikat tradisional, dan mengutamakan nilai estetika, fungsi, dan identitas lokal Endek Bali."
flora/F-003-flora_1.jpg,D:\DISERTASI_S3\WIWIK\DATASET_L2\EndekGAN\EndekGAN_Dataset\flora\F-003-flora_1.jpg,flora,0,4166f14983607b59e0a05cc862f37f2b,Motif Endek Flora berbasis bunga teratai sebagai simbol keindahan dan keseimbangan,bunga teratai sebagai simbol keindahan dan keseimbangan,deformasi,pola acak terkontrol,klimaks visual yang jelas; keseimbangan visual; kesatuan ornamen,"warna coklat, krem, dan emas bernuansa tradisional",mempertahankan karakter tekstur tenun ikat tradisional,memadukan unsur lama dan unsur baru secara kreatif,"Motif Endek Flora berbasis bunga teratai sebagai simbol keindahan dan keseimbangan. Desain kain Endek Bali bertema flora yang terinspirasi dari bunga teratai sebagai simbol keindahan dan keseimbangan. Motif dibuat menggunakan teknik deformasi, yaitu penyederhanaan struktur dan proporsi bentuk asli menjadi bentuk baru yang lebih dekoratif. Tata letak menggunakan pola acak terkontrol, dengan klimaks visual yang jelas, keseimbangan visual, dan kesatuan ornamen. Pewarnaan memakai warna coklat, krem, dan emas bernuansa tradisional. Desain harus mempertahankan karakter tekstur tenun ikat tradisional, tetap mempertahankan tekstur tenun ikat tradisional, dan memadukan unsur lama dan unsur baru secara kreatif."
flora/F-004-flora_162.jpg,D:\DISERTASI_S3\WIWIK\DATASET_L2\EndekGAN\EndekGAN_Dataset\flora\F-004-flora_162.jpg,flora,0,f06550590320ad51ba11ba2296f56381,Motif Endek Flora berbasis bunga teratai sebagai simbol keindahan dan keseimbangan,bunga teratai sebagai simbol keindahan dan keseimbangan,distorsi,pola ulang himpunan,kontras bentuk dan warna; irama repetitif; kesatuan ornamen,warna hijau dan kuning yang harmonis,motif tetap terbaca pada skala benang,digunakan dalam konteks budaya Bali,"Motif Endek Flora berbasis bunga teratai sebagai simbol keindahan dan keseimbangan. Desain kain Endek Bali bertema flora yang terinspirasi dari bunga teratai sebagai simbol keindahan dan keseimbangan. Motif dibuat menggunakan teknik distorsi, yaitu perubahan bentuk dengan penekanan atau pelebaran proporsi untuk menghasilkan karakter visual yang lebih ekspresif. Tata letak menggunakan pola ulang himpunan, dengan kontras bentuk dan warna, irama repetitif, dan kesatuan ornamen. Pewarnaan memakai warna hijau dan kuning yang harmonis. Desain harus motif tetap terbaca pada skala benang, tetap mempertahankan tekstur tenun ikat tradisional, dan digunakan dalam konteks budaya Bali."
flora/F-005-flora_170.jpg,D:\DISERTASI_S3\WIWIK\DATASET_L2\EndekGAN\EndekGAN_Dataset\flora\F-005-flora_170.jpg,flora,0,b91c815799bd24eb86265482f27a4b2e,Motif Endek Flora berbasis bunga teratai sebagai simbol keindahan dan keseimbangan,bunga teratai sebagai simbol keindahan dan keseimbangan,stilasi,pola acak terkontrol,irama repetitif; keseimbangan visual; kesatuan ornamen,"warna coklat, krem, dan emas bernuansa tradisional","mempertimbangkan jarak antar ikatan minimal 0,5 cm agar warna celupan dapat masuk",memadukan unsur lama dan unsur baru secara kreatif,"Motif Endek Flora berbasis bunga teratai sebagai simbol keindahan dan keseimbangan. Desain kain Endek Bali bertema flora yang terinspirasi dari bunga teratai sebagai simbol keindahan dan keseimbangan. Motif dibuat menggunakan teknik stilasi, yaitu penggayaan bentuk asli menjadi ornamen dekoratif dengan tetap mempertahankan ciri utama objek sumber. Tata letak menggunakan pola acak terkontrol, dengan irama repetitif, keseimbangan visual, dan kesatuan ornamen. Pewarnaan memakai warna coklat, krem, dan emas bernuansa tradisional. Desain harus mempertimbangkan jarak antar ikatan minimal 0,5 cm agar warna celupan dapat masuk, tetap mempertahankan tekstur tenun ikat tradisional, dan memadukan unsur lama dan unsur baru secara kreatif."
flora/F-006-flora_169.jpg,D:\DISERTASI_S3\WIWIK\DATASET_L2\EndekGAN\EndekGAN_Dataset\flora\F-006-flora_169.jpg,flora,0,3bb1a5129aac4c08dd6b8d2f1084ccb7,Motif Endek Flora berbasis motif bunga lokal dengan kelopak berulang,motif bunga lokal dengan kelopak berulang,distorsi,pola ulang menyeluruh,keseimbangan visual; klimaks visual yang jelas; kesatuan ornamen,warna hijau dan kuning yang harmonis,layak diterapkan pada proses ikat tenun Endek,menjaga kesakralan dan kepantasan motif,"Motif Endek Flora berbasis motif bunga lokal dengan kelopak berulang. Desain kain Endek Bali bertema flora yang terinspirasi dari motif bunga lokal dengan kelopak berulang. Motif dibuat menggunakan teknik distorsi, yaitu perubahan bentuk dengan penekanan atau pelebaran proporsi untuk menghasilkan karakter visual yang lebih ekspresif. Tata letak menggunakan pola ulang menyeluruh, dengan keseimbangan visual, klimaks visual yang jelas, dan kesatuan ornamen. Pewarnaan memakai warna hijau dan kuning yang harmonis. Desain harus layak diterapkan pada proses ikat tenun Endek, tetap mempertahankan tekstur tenun ikat tradisional, dan menjaga kesakralan dan kepantasan motif."
flora/F-007-flora_167.jpg,D:\DISERTASI_S3\WIWIK\DATASET_L2\EndekGAN\EndekGAN_Dataset\flora\F-007-flora_167.jpg,flora,0,534c2f2122f5d5afc5b00a439aa4a9f5,Motif Endek Flora berbasis daun dan sulur tanaman tropis Bali,daun dan sulur tanaman tropis Bali,deformasi,pola ulang himpunan,kontras bentuk dan warna; klimaks visual yang jelas; kesatuan ornamen,"warna coklat, krem, dan emas bernuansa tradisional",motif tetap terbaca pada skala benang,"mengutamakan nilai estetika, fungsi, dan identitas lokal Endek Bali","Motif Endek Flora berbasis daun dan sulur tanaman tropis Bali. Desain kain Endek Bali bertema flora yang terinspirasi dari daun dan sulur tanaman tropis Bali. Motif dibuat menggunakan teknik deformasi, yaitu penyederhanaan struktur dan proporsi bentuk asli menjadi bentuk baru yang lebih dekoratif. Tata letak menggunakan pola ulang himpunan, dengan kontras bentuk dan warna, klimaks visual yang jelas, dan kesatuan ornamen. Pewarnaan memakai warna coklat, krem, dan emas bernuansa tradisional. Desain harus motif tetap terbaca pada skala benang, tetap mempertahankan tekstur tenun ikat tradisional, dan mengutamakan nilai estetika, fungsi, dan identitas lokal Endek Bali."
flora/F-008-flora_161.jpg,D:\DISERTASI_S3\WIWIK\DATASET_L2\EndekGAN\EndekGAN_Dataset\flora\F-008-flora_161.jpg,flora,0,b3b08bfae8667bbd60d512d926e3c592,Motif Endek Flora berbasis motif bunga lokal dengan kelopak berulang,motif bunga lokal dengan kelopak berulang,deformasi,pola ulang himpunan,keseimbangan visual; kesatuan ornamen; kesatuan ornamen,warna hijau dan kuning yang harmonis,layak diterapkan pada proses ikat tenun Endek,"mengutamakan nilai estetika, fungsi, dan identitas lokal Endek Bali","Motif Endek Flora berbasis motif bunga lokal dengan kelopak berulang. Desain kain Endek Bali bertema flora yang terinspirasi dari motif bunga lokal dengan kelopak berulang. Motif dibuat menggunakan teknik deformasi, yaitu penyederhanaan struktur dan proporsi bentuk asli menjadi bentuk baru yang lebih dekoratif. Tata letak menggunakan pola ulang himpunan, dengan keseimbangan visual, kesatuan ornamen, dan kesatuan ornamen. Pewarnaan memakai warna hijau dan kuning yang harmonis. Desain harus layak diterapkan pada proses ikat tenun Endek, tetap mempertahankan tekstur tenun ikat tradisional, dan mengutamakan nilai estetika, fungsi, dan identitas lokal Endek Bali."
flora/F-009-flora_164.jpg,D:\DISERTASI_S3\WIWIK\DATASET_L2\EndekGAN\EndekGAN_Dataset\flora\F-009-flora_164.jpg,flora,0,a4565628326ddf35a3243edfeca97b71,Motif Endek Flora berbasis bunga kamboja sebagai simbol kesucian,bunga kamboja sebagai simbol kesucian,deformasi,pola ulang himpunan,keseimbangan visual; irama repetitif; kesatuan ornamen,"warna coklat, krem, dan emas bernuansa tradisional",struktur ornamen tidak terlalu rapat sehingga dapat diendekkan,menjaga kesakralan dan kepantasan motif,"Motif Endek Flora berbasis bunga kamboja sebagai simbol kesucian. Desain kain Endek Bali bertema flora yang terinspirasi dari bunga kamboja sebagai simbol kesucian. Motif dibuat menggunakan teknik deformasi, yaitu penyederhanaan struktur dan proporsi bentuk asli menjadi bentuk baru yang lebih dekoratif. Tata letak menggunakan pola ulang himpunan, dengan keseimbangan visual, irama repetitif, dan kesatuan ornamen. Pewarnaan memakai warna coklat, krem, dan emas bernuansa tradisional. Desain harus struktur ornamen tidak terlalu rapat sehingga dapat diendekkan, tetap mempertahankan tekstur tenun ikat tradisional, dan menjaga kesakralan dan kepantasan motif."
flora/F-010-flora_166 (1).jpg,D:\DISERTASI_S3\WIWIK\DATASET_L2\EndekGAN\EndekGAN_Dataset\flora\F-010-flora_166 (1).jpg,flora,0,44c8d55664407374cc91cdd16098e831,Motif Endek Flora berbasis bunga kamboja sebagai simbol kesucian,bunga kamboja sebagai simbol kesucian,stilasi,pola ulang menyeluruh,proporsi seimbang; irama repetitif; kesatuan ornamen,warna merah dan emas yang kontras,"mempertimbangkan jarak antar ikatan minimal 0,5 cm agar warna celupan dapat masuk","mengutamakan nilai estetika, fungsi, dan identitas lokal Endek Bali","Motif Endek Flora berbasis bunga kamboja sebagai simbol kesucian. Desain kain Endek Bali bertema flora yang terinspirasi dari bunga kamboja sebagai simbol kesucian. Motif dibuat menggunakan teknik stilasi, yaitu penggayaan bentuk asli menjadi ornamen dekoratif dengan tetap mempertahankan ciri utama objek sumber. Tata letak menggunakan pola ulang menyeluruh, dengan proporsi seimbang, irama repetitif, dan kesatuan ornamen. Pewarnaan memakai warna merah dan emas yang kontras. Desain harus mempertimbangkan jarak antar ikatan minimal 0,5 cm agar warna celupan dapat masuk, tetap mempertahankan tekstur tenun ikat tradisional, dan mengutamakan nilai estetika, fungsi, dan identitas lokal Endek Bali."
